Category: All categories

Region,Hamburger: (2/1/24 - 2/28/25),Milkshake: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
South Dakota,75%,14%,11%
Oklahoma,69%,19%,12%
Montana,75%,14%,11%
Hawaii,73%,14%,13%
Texas,69%,19%,12%
Kansas,67%,19%,14%
North Dakota,70%,18%,12%
Nevada,67%,20%,13%
Utah,66%,21%,13%
Nebraska,69%,18%,13%
Idaho,67%,20%,13%
Tennessee,65%,22%,13%
Alaska,72%,15%,13%
Mississippi,69%,20%,11%
Missouri,66%,20%,14%
South Carolina,65%,23%,12%
Oregon,69%,17%,14%
Arkansas,67%,21%,12%
Wyoming,71%,16%,13%
Arizona,67%,20%,13%
Michigan,67%,20%,13%
Indiana,66%,21%,13%
Colorado,68%,18%,14%
Minnesota,68%,19%,13%
Alabama,65%,23%,12%
North Carolina,64%,23%,13%
Wisconsin,66%,20%,14%
Washington,68%,18%,14%
Iowa,67%,20%,13%
Kentucky,63%,23%,14%
California,65%,20%,15%
Louisiana,66%,21%,13%
Connecticut,64%,22%,14%
Ohio,63%,23%,14%
Maine,70%,17%,13%
New Mexico,67%,19%,14%
Illinois,63%,23%,14%
Georgia,63%,23%,14%
Virginia,63%,24%,13%
West Virginia,63%,24%,13%
Florida,63%,23%,14%
Vermont,68%,17%,15%
Pennsylvania,62%,23%,15%
Rhode Island,63%,24%,13%
New Hampshire,65%,21%,14%
Maryland,62%,23%,15%
New York,63%,21%,16%
Delaware,61%,25%,14%
New Jersey,61%,23%,16%
District of Columbia,66%,17%,17%
Massachusetts,62%,21%,17%
